YEAR,TEAM,BPI
2008,Kansas,21.9
2008,North Carolina,20.2
2008,Memphis,19.3
2008,UCLA,18.9
2008,Duke,18.2
2008,Georgetown,17.2
2008,West Virginia,16.6
2008,Wisconsin,16.5
2008,Tennessee,16.1
2008,Louisville,16.1
2008,Davidson,14.8
2008,Clemson,14.7
2008,Washington St.,14.3
2008,Xavier,14.3
2008,Marquette,14.2
2008,Stanford,14.1
2008,Texas,13.7
2008,Michigan St.,13.6
2008,Pittsburgh,13.3
2008,Indiana,12.6
2008,Butler,12.5
2008,UConn,12.3
2008,Texas A&M,12.3
2008,Notre Dame,12.2
2008,USC,12.0
2008,Ohio St.,11.8
2008,Gonzaga,11.0
2008,Mississippi St.,11.0
2008,Arizona,10.7
2008,Florida,10.6
2008,Miami FL,10.4
2008,Drake,10.3
2008,Purdue,9.9
2008,Oregon,9.9
2008,Virginia Tech,9.8
2008,Arkansas,9.7
2008,Kansas St.,9.6
2008,Syracuse,9.6
2008,Oklahoma,9.5
2008,Saint Joseph's,9.3
2008,Ole Miss,9.3
2008,New Mexico,9.3
2008,Georgia Tech,9.2
2008,Missouri,9.1
2008,Villanova,9.0
2008,VCU,9.0
2008,Saint Mary's,9.0
2008,UNLV,8.6
2008,Vanderbilt,8.4
2008,Maryland,8.3
2008,Florida St.,8.3
2008,BYU,8.2
2008,Western Kentucky,8.2
2008,Illinois,8.1
2008,Rhode Island,7.8
2008,Baylor,7.8
2008,Massachusetts,7.8
2008,Minnesota,7.6
2008,Kent St.,7.6
2008,Nebraska,7.5
2008,Duquesne,7.4
2008,Kentucky,7.4
2008,Arizona St.,7.1
2008,Dayton,7.1
2008,Wake Forest,7.0
2008,Temple,7.0
2008,Washington,6.9
2008,California,6.9
2008,Illinois St.,6.9
2008,UAB,6.9
2008,Houston,6.7
2008,George Mason,6.7
2008,Akron,6.6
2008,Virginia,6.4
2008,Creighton,6.3
2008,South Alabama,6.1
2008,S Illinois,6.0
2008,Charlotte,6.0
2008,IUPUI,6.0
2008,Alabama,6.0
2008,Winthrop,5.9
2008,Providence,5.8
2008,Utah,5.6
2008,Oral Roberts,5.6
2008,Georgia,5.3
2008,South Carolina,5.2
2008,Tulsa,5.2
2008,Siena,5.1
2008,Oklahoma St.,4.9
2008,Texas Tech,4.9
2008,Miami FL OH,4.9
2008,Stephen F. Austin,4.9
2008,Cal St. Fullerton,4.7
2008,Western Michigan,4.4
2008,UNC Greensboro,4.3
2008,Boston College,4.3
2008,Old Dominion,4.3
2008,New Mexico St.,4.3
2008,UC Santa Barbara,4.3
2008,Ohio,4.2
2008,San Diego St.,4.2
2008,North Carolina St.,4.2
2008,Missouri St.,4.0
2008,Bradley,3.9
2008,Southern Miss,3.9
2008,UCF,3.9
2008,Cornell,3.6
2008,UTEP,3.4
2008,DePaul,3.4
2008,Seton Hall,3.4
2008,South Florida,3.3
2008,North Dakota St.,3.2
2008,LSU,3.0
2008,Cal St. Northridge,3.0
2008,Valparaiso,3.0
2008,Portland St.,2.9
2008,Cincinnati,2.8
2008,Robert Morris,2.8
2008,Brown,2.7
2008,Wright St.,2.7
2008,Belmont,2.6
2008,Sam Houston St.,2.6
2008,Cleveland St.,2.6
2008,UIC,2.5
2008,Rider,2.5
2008,Nevada,2.4
2008,Northern Iowa,2.4
2008,High Point,2.4
2008,Pacific,2.4
2008,UMBC,2.3
2008,Penn St.,2.2
2008,Boise St.,2.2
2008,Lamar,2.1
2008,Auburn,2.0
2008,Utah St.,2.0
2008,San Diego,2.0
2008,Iowa St.,1.7
2008,Marshall,1.6
2008,St. John's,1.5
2008,Saint Louis,1.5
2008,Fordham,1.4
2008,North Texas,1.4
2008,Indiana St.,1.4
2008,Appalachian St.,1.3
2008,UC Irvine,1.3
2008,Northeastern,1.2
2008,Niagara,1.1
2008,Austin Peay,1.1
2008,GA Southern,0.9
2008,Green Bay,0.8
2008,Oakland,0.8
2008,American,0.8
2008,Tulane,0.7
2008,Marist,0.7
2008,UNC Asheville,0.7
2008,Michigan,0.7
2008,Holy Cross,0.6
2008,Albany,0.3
2008,Wichita St.,0.3
2008,Chattanooga,0.2
2008,Richmond,0.2
2008,La Salle,0.0
2008,Vermont,0.0
2008,Iowa,0.0
2008,Colorado,-0.1
2008,Loyola MD,-0.2
2008,UNC Wilmington,-0.2
2008,College of Charleston,-0.3
2008,Montana,-0.4
2008,George Washington,-0.5
2008,Mount St. Mary's,-0.5
2008,SE Louisiana,-0.6
2008,TCU,-0.7
2008,East Tennessee St.,-0.7
2008,Morgan St.,-0.7
2008,Santa Clara,-0.8
2008,Liberty,-0.9
2008,C Michigan,-0.9
2008,James Madison,-0.9
2008,Air Force,-1.1
2008,Murray St.,-1.2
2008,Yale,-1.3
2008,Milwaukee,-1.3
2008,William & Mary,-1.3
2008,Lafayette,-1.3
2008,New Orleans,-1.4
2008,Gardner Webb,-1.5
2008,Hampton,-1.5
2008,UT Arlington,-1.5
2008,Lipscomb,-1.6
2008,N Arizona,-1.7
2008,VMI,-1.7
2008,Arkansas Little Rock,-1.8
2008,Purdue FW,-1.8
2008,Fresno St.,-1.9
2008,Middle Tennessee,-1.9
2008,Connecticut,-1.9
2008,Navy,-2.0
2008,E Michigan,-2.1
2008,Weber St.,-2.1
2008,Colgate,-2.1
2008,Delaware,-2.2
2008,Sacred Heart,-2.3
2008,Rutgers,-2.3
2008,Loyola Chicago,-2.4
2008,Wofford,-2.5
2008,Hofstra,-2.5
2008,UT Martin,-2.7
2008,Boston University,-2.8
2008,Northwestern,-2.9
2008,Utah Valley,-2.9
2008,Hawaii,-2.9
2008,Binghamton,-3.0
2008,LIU Brooklyn,-3.0
2008,Louisiana Lafayette,-3.1
2008,Columbia,-3.1
2008,Fairfield,-3.1
2008,Wagner,-3.2
2008,Tennessee Tech,-3.2
2008,Buffalo,-3.3
2008,Toledo,-3.4
2008,Florida Atlantic,-3.8
2008,Towson,-3.8
2008,Bowling Green,-3.8
2008,Drexel,-3.8
2008,Quinnipiac,-3.9
